n	partition(n)	runtime(n)	memory(n)
350	279363328483702152	0.0634059906005859375	13762216
351	298330063062758076	0.0102808475494384765625	13840840
352	318555973788329084	0.0102710723876953125	13919688
353	340122810048577428	0.0603330135345458984375	13998760
354	363117512048110005	0.010941028594970703125	14078056
355	387632532919029223	0.0103809833526611328125	14157576
356	413766180933342362	0.0606529712677001953125	14237320
357	441622981929358437	0.0112760066986083984375	14317288
358	471314064268398780	0.010818004608154296875	14397480
359	502957566506000020	0.01084995269775390625	14477896
360	536679070310691121	0.0615050792694091796875	14558664
361	572612058898037559	0.0107619762420654296875	14639528
362	610898403751884101	0.0109760761260986328125	14720616
363	651688879997206959	0.061291217803955078125	14801928
364	695143713458946040	0.0110051631927490234375	14883464
365	741433159884081684	0.010982036590576171875	14965224
366	790738119649411319	0.0615808963775634765625	15047208
367	843250788562528427	0.01101207733154296875	15129416
368	899175348396088349	0.0112240314483642578125	15211848
369	958728697912338045	0.0629260540008544921875	15294504
370	1022141228367345362	0.0117270946502685546875	15377384
371	1089657644424399782	0.0114772319793701171875	15460488
372	1161537834849962850	0.0625560283660888671875	15543816
373	1238057794119125085	0.011847972869873046875	15627368
374	1319510599727473500	0.0115401744842529296875	15711144
375	1406207446561484054	0.0617249011993408203125	15795144
376	1498478743590581081	0.012174129486083984375	15879496
377	1596675274490756791	0.0118710994720458984375	15963944
378	1701169427975813525	0.0630381107330322265625	16048616
379	1812356499739472950	0.015181064605712890625	16133512
380	1930656072350465812	0.0440499782562255859375	16218632
381	2056513475336633805	0.06268405914306640625	16303976
382	2190401332423765131	0.011971950531005859375	16389544
383	2332821198543892336	0.0614011287689208984375	16475336
384	2484305294265418180	0.012937068939208984375	16561352
385	2645418340688763701	0.015079021453857421875	16647592
386	2816759503217942792	0.06293201446533203125	16734056
387	2998964447736452194	0.012506008148193359375	16820744
388	3192707518433532826	0.012918949127197265625	16907656
389	3398704041358160275	0.0628349781036376953125	16994792
390	3617712763867604423	0.0125119686126708984375	17082152
391	3850538434667429186	0.0632190704345703125	17169736
392	4098034535626594791	0.0133650302886962890625	17257672
393	4361106170762284114	0.01284694671630859375	17345704
394	4640713124699623515	0.0640509128570556640625	17433960
395	4937873096788191655	0.0135800838470458984375	17522440
396	5253665124416975163	0.0128269195556640625	17611144
397	5589233202595404488	0.0638630390167236328125	17700072
